3.9783,4.4174,4.7466,3.4024,5.5491,3.176,3.9738,4.4219,4.7405,3.4039,5.5446,3.1932,-1.341,1.3547,-1.7932,0.43852,-1.3407,5.0877,-1.3572,1.3364,-1.7596,0.42319,-1.3572,2.5415
3.9738,4.4219,4.7405,3.4039,5.5446,3.1932,3.96,4.4354,4.7228,3.4081,5.5308,3.2103,-1.3572,1.3364,-1.7596,0.42319,-1.3572,2.5415,-1.3943,1.3038,-1.6985,0.3947,-1.3943,0.63478
3.96,4.4354,4.7228,3.4081,5.5308,3.2103,3.9361,4.4572,4.6947,3.4145,5.5069,3.2103,-1.3943,1.3038,-1.6985,0.3947,-1.3943,0.63478,-1.4577,1.248,-1.5978,0.34973,-1.4577,0
3.9361,4.4572,4.6947,3.4145,5.5069,3.2103,3.901,4.486,4.6581,3.4223,5.4717,3.2103,-1.4577,1.248,-1.5978,0.34973,-1.4577,0,-1.5493,1.1661,-1.4579,0.29172,-1.5493,-0.01763
3.901,4.486,4.6581,3.4223,5.4717,3.2103,3.8525,4.5201,4.6159,3.4303,5.4233,3.2093,-1.5493,1.1661,-1.4579,0.29172,-1.5493,-0.01763,-1.6717,1.0538,-1.2797,0.22588,-1.6717,-0.22569
3.8525,4.5201,4.6159,3.4303,5.4233,3.2093,3.7881,4.5571,4.5717,3.4375,5.3589,3.1951,-1.6717,1.0538,-1.2797,0.22588,-1.6717,-0.22569,-1.8232,0.90353,-1.0623,0.1588,-1.8232,-0.544
3.7881,4.5571,4.5717,3.4375,5.3589,3.1951,3.7055,4.593,4.5303,3.4431,5.2763,3.1655,-1.8232,0.90353,-1.0623,0.1588,-1.8232,-0.544,-1.9885,0.71793,-0.81825,0.10032,-1.9885,-0.56094
3.7055,4.593,4.5303,3.4431,5.2763,3.1655,3.6121,4.6206,4.4993,3.4464,5.1829,3.1454,-1.9885,0.71793,-0.81825,0.10032,-1.9885,-0.56094,-2.1527,0.49701,-0.55168,0.054678,-2.1527,-0.26541
3.6121,4.6206,4.4993,3.4464,5.1829,3.1454,3.5117,4.6377,4.4806,3.448,5.0825,3.1416,-2.1527,0.49701,-0.55168,0.054678,-2.1527,-0.26541,-2.2906,0.25381,-0.27694,0.023144,-2.2906,-0.042467
3.5117,4.6377,4.4806,3.448,5.0825,3.1416,3.406,4.6435,4.4744,3.4485,4.9768,3.1416,-2.2906,0.25381,-0.27694,0.023144,-2.2906,-0.042467,-2.3849,0,0,0,-2.3849,0
3.406,4.6435,4.4744,3.4485,4.9768,3.1416,3.2971,4.6377,4.4806,3.448,4.8679,3.1416,-2.3849,0,0,0,-2.3849,0,-2.4254,-0.25381,0.27694,-0.023144,-2.4254,-0.042478
3.2971,4.6377,4.4806,3.448,4.8679,3.1416,3.1877,4.6206,4.4993,3.4464,4.7585,3.1378,-2.4254,-0.25381,0.27694,-0.023144,-2.4254,-0.042478,-2.4091,-0.49701,0.55168,-0.054678,-2.4091,-0.26542
3.1877,4.6206,4.4993,3.4464,4.7585,3.1378,3.0803,4.593,4.5303,3.4431,4.6511,3.1177,-2.4091,-0.49701,0.55168,-0.054678,-2.4091,-0.26542,-2.3421,-0.71793,0.81825,-0.10032,-2.3421,-0.56094
3.0803,4.593,4.5303,3.4431,4.6511,3.1177,2.9804,4.5571,4.5717,3.4375,4.5512,3.0881,-2.3421,-0.71793,0.81825,-0.10032,-2.3421,-0.56094,-2.2434,-0.90339,1.0622,-0.15877,-2.2434,-0.544
2.9804,4.5571,4.5717,3.4375,4.5512,3.0881,2.8994,4.5201,4.6159,3.4303,4.4702,3.0738,-2.2434,-0.90339,1.0622,-0.15877,-2.2434,-0.544,-2.1326,-1.0538,1.2797,-0.22588,-2.1326,-0.22567
2.8994,4.5201,4.6159,3.4303,4.4702,3.0738,2.8365,4.486,4.6581,3.4223,4.4073,3.0729,-2.1326,-1.0538,1.2797,-0.22588,-2.1326,-0.22567,-2.031,-1.1666,1.4584,-0.29183,-2.031,-0.017611
2.8365,4.486,4.6581,3.4223,4.4073,3.0729,2.7897,4.4571,4.6947,3.4145,4.3605,3.0729,-2.031,-1.1666,1.4584,-0.29183,-2.031,-0.017611,-1.9473,-1.248,1.5978,-0.34973,-1.9474,0
2.7897,4.4571,4.6947,3.4145,4.3605,3.0729,2.7576,4.4354,4.7228,3.4081,4.3284,3.0729,-1.9473,-1.248,1.5978,-0.34973,-1.9474,0,-1.8867,-1.3039,1.6986,-0.3947,-1.8867,0.63478
2.7576,4.4354,4.7228,3.4081,4.3284,3.0729,2.7388,4.4219,4.7406,3.4039,4.3096,3.09,-1.8867,-1.3039,1.6986,-0.3947,-1.8867,0.63478,-1.8501,-1.3364,1.7596,-0.42319,-1.8501,2.5414
2.7388,4.4219,4.7406,3.4039,4.3096,3.09,2.7326,4.4174,4.7466,3.4024,4.3034,3.1072,-1.8501,-1.3364,1.7596,-0.42319,-1.8501,2.5414,-1.829,-1.3505,1.7879,-0.43733,-1.8293,5.0874
